"Name","OVR","PAC","SHO","PAS","DRI","DEF","PHY","Acceleration","Sprint.Speed","Positioning","Finishing","Shot.Power","Long.Shots","Volleys","Penalties","Vision","Crossing","Free.Kick.Accuracy","Short.Passing","Long.Passing","Curve","Dribbling","Agility","Balance","Reactions","Ball.Control","Composure","Interceptions","Heading.Accuracy","Def.Awareness","Standing.Tackle","Sliding.Tackle","Jumping","Stamina","Strength","Aggression","Position","Weak.foot","Skill.moves","Preferred.foot","Height","Weight","Alternative.positions","Age","Nation","League","Team","url","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","gender"
"Timo Horn",72,73,74,58,72,47,67,45,51,15,13,44,17,14,21,45,19,15,30,29,12,20,50,31,76,22,25,22,14,14,13,12,64,31,67,41,"GK",1,1,"Left",192,90,"",31,"Germany","Bundesliga","VfL Bochum 1848","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/timo-horn/200316",73,74,58,67,72,"M"
"Sascha Horvath",72,82,68,72,77,57,62,87,77,69,67,69,71,64,70,74,68,65,75,73,70,76,92,92,69,74,69,60,37,56,63,60,59,79,52,68,"CM",4,3,"Right",168,60,"CAM, CDM",28,"Austria","Ö. Bundesliga","LASK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sascha-horvath/213301",NA,NA,NA,NA,NA,"M"
"Ethan Horvath",72,77,68,66,76,48,67,48,49,11,17,50,19,14,11,50,11,17,31,48,16,16,54,32,70,22,31,10,13,14,NA,NA,64,30,64,27,"GK",3,1,"Right",193,83,"",29,"United States","EFL Championship","Cardiff City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ethan-horvath/219736",77,68,66,67,76,"M"
"Lucas Hoyos",72,74,69,68,75,61,66,63,58,18,16,51,17,19,29,48,23,21,41,33,30,25,63,67,70,35,63,29,19,23,23,23,70,45,60,42,"GK",3,1,"Right",183,76,"",35,"Argentina","Primera División","Newell's","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-hoyos/224348",74,69,68,66,75,"M"
"Branimir Hrgota",72,73,74,65,75,25,67,77,70,73,75,75,73,72,73,70,59,63,70,53,75,77,76,67,71,75,66,17,52,22,28,17,70,82,67,45,"CAM",4,3,"Left",185,76,"ST",31,"Sweden","Bundesliga 2","Fürth","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/branimir-hrgota/209504",NA,NA,NA,NA,NA,"M"
"Rodrigo Huescas",72,85,66,68,70,66,57,84,85,61,65,71,68,58,55,60,66,55,75,73,62,70,80,75,65,70,58,61,59,66,70,68,63,80,42,62,"RB",4,3,"Right",174,69,"RM, RW",20,"Mexico","3F Superliga","F.C. København","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrigo-huescas/263711",NA,NA,NA,NA,NA,"M"
"Hwang Ui Jo",72,77,73,64,73,42,71,76,77,72,70,79,74,72,67,65,62,62,65,58,80,74,72,65,70,73,70,44,68,33,42,35,79,75,71,62,"ST",4,3,"Right",185,78,"",32,"Korea Republic","Premier League","Nott'm Forest","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hwang-ui-jo/212260",NA,NA,NA,NA,NA,"M"
"Jesús Imaz",72,80,71,67,74,31,63,81,80,70,73,72,69,65,72,69,62,55,71,71,60,73,84,82,67,73,61,34,56,31,24,23,73,81,63,37,"CAM",4,4,"Right",174,70,"ST",33,"Spain","PKO BP Ekstraklasa","Jagiellonia","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jesus-imaz/224146",NA,NA,NA,NA,NA,"M"
"Sverrir Ingi Ingason",72,52,53,57,57,72,75,50,54,54,48,64,59,30,50,55,45,46,66,59,48,47,54,58,71,68,73,74,73,72,71,70,76,67,78,75,"CB",3,2,"Right",188,83,"",31,"Iceland","Hellas Liga","Panathinaikos","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sverrir-ingi-ingason/221422",NA,NA,NA,NA,NA,"M"
"Juan Manuel Insaurralde",72,45,53,57,58,71,80,51,40,57,42,78,52,51,44,54,47,30,66,67,52,55,60,45,66,60,71,69,78,70,70,71,82,70,83,82,"CB",3,2,"Left",188,87,"",39,"Argentina","Primera División","Sarmiento","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/juan-manuel-insaurralde/153060",NA,NA,NA,NA,NA,"M"
"Juan Iturbe",72,89,64,66,76,29,52,89,89,68,60,72,67,59,60,68,65,70,68,57,70,75,85,90,64,74,78,21,40,31,30,26,51,66,34,78,"RM",2,4,"Left",169,73,"ST, LW, RW",31,"Paraguay","Libertadores","Cerro Porteño","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/juan-iturbe/199151",NA,NA,NA,NA,NA,"M"
"Tomoki Iwata",72,75,60,64,68,68,77,73,77,66,57,67,62,46,51,65,54,44,75,67,37,64,73,74,72,72,67,67,68,64,72,68,81,77,78,72,"CDM",3,2,"Right",178,77,"CM",27,"Japan","EFL League One","Birmingham City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tomoki-iwata/246444",NA,NA,NA,NA,NA,"M"
"Paul Jaeckel",72,64,33,54,51,73,71,66,63,32,25,47,36,33,44,53,35,37,69,58,31,39,62,59,68,60,66,75,71,73,73,72,80,54,76,75,"CB",3,2,"Right",186,83,"",26,"Germany","Bundesliga 2","Braunschweig","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paul-jaeckel/242958",NA,NA,NA,NA,NA,"M"
"Václav Jemelka",72,66,49,64,68,70,77,64,68,60,44,56,54,35,42,62,64,35,69,71,43,68,59,72,66,70,70,72,74,69,69,68,82,71,80,76,"CB",2,2,"Left",187,81,"LB",29,"Czech Republic","Česká Liga","Viktoria Plzeň","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vaclav-jemelka/259188",NA,NA,NA,NA,NA,"M"
"Jeong Woo Yeong",72,78,62,67,78,36,61,78,78,71,66,59,56,58,50,71,68,40,73,59,50,78,86,84,69,77,63,30,61,34,32,36,69,79,54,55,"CAM",4,3,"Right",179,71,"ST",24,"Korea Republic","Bundesliga","Union Berlin","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jeong-woo-yeong/239138",NA,NA,NA,NA,NA,"M"
"Erik Jirka",72,85,66,66,70,42,67,83,86,71,66,73,65,47,63,64,70,43,69,63,60,71,70,65,69,72,58,40,67,33,43,42,79,71,67,58,"RM",3,3,"Right",183,77,"LM, RW",26,"Slovakia","Česká Liga","Viktoria Plzeň","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/erik-jirka/255699",NA,NA,NA,NA,NA,"M"
"Lasse Berg Johnsen",72,67,55,65,68,67,82,69,65,59,49,66,60,55,50,66,55,50,68,73,61,65,77,74,71,69,71,68,55,70,68,66,73,91,78,81,"CDM",3,2,"Right",179,75,"CM",25,"Norway","Allsvenskan","Malmö FF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lasse-berg-johnsen/248166",NA,NA,NA,NA,NA,"M"
"Michael Johnston",72,85,69,64,75,29,48,88,83,68,68,75,71,57,57,67,65,65,67,53,68,75,89,86,70,72,64,20,49,32,27,25,62,65,46,27,"LW",3,4,"Right",178,66,"LM, RW",25,"Republic of Ireland","Scottish Prem","Celtic","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michael-johnston/238505",NA,NA,NA,NA,NA,"M"
"Alfie Jones",72,59,40,59,59,72,77,56,61,45,37,49,38,37,44,59,42,36,71,67,49,56,52,61,68,62,68,71,72,72,72,71,71,76,79,75,"CB",3,2,"Right",191,87,"",26,"England","EFL Championship","Hull City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alfie-jones/236315",NA,NA,NA,NA,NA,"M"
"DeJuan Jones",72,82,56,65,70,67,75,80,84,64,56,65,49,47,55,63,68,40,68,68,62,69,85,71,68,68,62,63,69,69,69,65,76,77,76,68,"LB",5,2,"Right",180,75,"RB",27,"United States","MLS","Columbus Crew","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/de-juan-jones/246803",NA,NA,NA,NA,NA,"M"
"Isaiah Jones",72,85,55,65,73,64,61,84,86,61,56,59,50,48,54,64,72,41,69,59,50,75,77,77,70,72,61,60,49,66,69,63,66,79,57,45,"RM",4,3,"Right",176,71,"RB, RW",25,"England","EFL Championship","Middlesbrough","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/isaiah-jones/253055",NA,NA,NA,NA,NA,"M"
"Zanka",72,47,39,58,56,72,76,44,49,43,34,62,30,40,27,62,47,26,68,64,35,50,45,56,67,64,66,71,70,73,73,69,72,57,83,82,"CB",2,2,"Right",191,79,"",34,"Denmark","1A Pro League","RSC Anderlecht","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/zanka/183491",NA,NA,NA,NA,NA,"M"
"Jhojan Julio",72,81,65,65,74,60,68,82,81,71,65,70,58,59,65,67,55,66,70,63,61,75,83,71,73,72,63,68,56,54,64,56,74,82,65,57,"LM",3,4,"Right",168,68,"CAM, LW",26,"Ecuador","Libertadores","LDU Quito","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jhojan-julio/254023",NA,NA,NA,NA,NA,"M"
"Tino Kadewere",72,73,72,66,72,38,67,72,73,71,72,76,68,66,73,68,64,57,70,60,67,71,78,66,71,73,73,30,69,34,39,35,78,63,71,59,"ST",3,3,"Right",183,72,"RM",28,"Zimbabwe","Ligue 1 McDonald's","FC Nantes","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tino-kadewere/230717",NA,NA,NA,NA,NA,"M"
"Abdelkahar Kadri",72,72,67,68,78,61,62,74,70,70,67,70,65,62,71,66,62,68,74,62,74,80,79,82,70,75,72,63,48,58,66,63,63,57,60,71,"CAM",4,3,"Right",170,69,"CM",24,"Algeria","1A Pro League","KV Kortrijk","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/abdelkahar-kadri/264201",NA,NA,NA,NA,NA,"M"
"Gédéon Kalulu",72,81,40,58,70,71,76,79,82,43,35,50,42,27,41,51,59,38,68,55,46,69,79,74,69,68,69,69,65,73,72,68,83,74,79,71,"RB",3,2,"Right",176,74,"RM",27,"Congo DR","Ligue 2 BKT","FC Lorient","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gedeon-kalulu/238391",NA,NA,NA,NA,NA,"M"
"Wilfried Kanga",72,71,69,57,65,25,84,68,74,72,72,79,59,65,50,63,50,57,62,47,53,66,57,44,69,68,65,28,73,19,15,18,87,80,91,69,"ST",4,3,"Right",185,76,"",26,"Côte d'Ivoire","EFL Championship","Cardiff City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wilfried-kanga/239589",NA,NA,NA,NA,NA,"M"
"Yann Karamoh",72,77,68,67,74,31,59,78,77,71,68,69,69,66,65,70,68,51,69,65,67,76,72,65,68,75,72,29,65,23,31,26,74,62,60,50,"LM",4,4,"Right",185,80,"ST, RM, LW",26,"France","Serie A Enilive","Torino","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yann-karamoh/231826",NA,NA,NA,NA,NA,"M"
"David Moberg Karlsson",72,87,69,69,75,30,58,84,90,68,68,70,70,61,72,69,71,75,68,65,75,77,79,74,67,73,74,21,48,38,24,23,67,62,59,49,"CAM",4,3,"Left",178,74,"RM",30,"Sweden","Allsvenskan","IFK Norrköping","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-moberg-karlsson/209039",NA,NA,NA,NA,NA,"M"
"Yassine Kechta",72,58,59,70,74,64,63,62,55,66,59,64,59,49,48,72,62,61,75,72,62,73,75,78,70,74,72,67,49,62,68,64,54,79,53,69,"CM",3,3,"Left",174,68,"CDM",22,"Morocco","Ligue 1 McDonald's","Havre AC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yassine-kechta/263468",NA,NA,NA,NA,NA,"M"
"Olivier Kemen",72,77,69,67,74,68,81,74,80,62,70,75,69,51,57,71,58,53,73,70,52,74,75,76,75,72,72,68,64,67,71,69,82,84,82,75,"CM",3,3,"Right",177,76,"CAM, CDM",28,"Cameroon","Trendyol Süper Lig","Başakşehir","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/olivier-kemen/220175",NA,NA,NA,NA,NA,"M"
"Marc-Oliver Kempf",72,72,41,56,61,72,77,71,72,28,30,64,46,30,52,53,43,39,64,70,36,59,62,64,67,63,63,72,74,71,73,72,86,73,81,71,"CB",4,2,"Left",186,87,"",29,"Germany","Serie A Enilive","Como","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-oliver-kempf/210719",NA,NA,NA,NA,NA,"M"
"Jonjoe Kenny",72,69,54,65,69,70,71,72,67,64,34,78,70,58,59,62,68,49,68,63,61,68,68,75,67,69,67,72,59,68,73,71,70,84,64,70,"RB",2,3,"Right",176,70,"",27,"England","Bundesliga 2","Hertha BSC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonjoe-kenny/224263",NA,NA,NA,NA,NA,"M"
"Frankie Kent",72,62,30,52,59,72,79,60,63,40,32,38,16,24,34,45,28,28,69,70,22,53,58,62,69,65,67,71,74,73,72,70,81,82,80,72,"CB",3,2,"Right",188,76,"",28,"England","Scottish Prem","Hearts","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frankie-kent/220140",NA,NA,NA,NA,NA,"M"
"Wahbi Khazri",72,63,75,73,75,43,70,63,63,75,71,84,73,72,81,73,73,77,74,67,77,74,75,76,73,75,77,53,58,31,46,30,68,66,70,73,"ST",4,4,"Right",176,82,"LM",33,"Tunisia","Ligue 1 McDonald's","Montpellier","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wahbi-khazri/194845",NA,NA,NA,NA,NA,"M"
"Abdukodir Khusanov",72,71,39,54,55,71,72,62,79,44,34,49,36,37,46,51,47,40,62,53,48,49,59,51,69,58,68,71,69,70,73,72,78,50,81,75,"CB",3,2,"Right",186,84,"",20,"Uzbekistan","Ligue 1 McDonald's","RC Lens","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/abdukodir-khusanov/277031",NA,NA,NA,NA,NA,"M"
"Semih Kılıçsoy",72,78,74,60,75,31,71,77,79,73,77,80,69,46,67,63,55,49,66,54,61,76,75,74,67,76,69,26,59,29,29,26,76,66,72,72,"ST",4,3,"Right",178,68,"LW, RM",19,"Turkey","Trendyol Süper Lig","Beşiktaş","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/semih-k-l-csoy/274616",NA,NA,NA,NA,NA,"M"
"Antonín Kinský",72,73,72,74,74,25,72,25,26,NA,NA,56,NA,NA,15,47,13,14,18,25,13,18,39,25,55,30,70,11,14,NA,10,11,56,20,60,24,"GK",3,1,"Right",190,80,"",21,"Czech Republic","Česká Liga","Slavia Praha","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antonin-kinsky/73580",73,72,74,72,74,"M"
"Joshua Kitolano",72,79,58,65,76,68,75,86,73,69,58,60,57,45,65,67,52,39,75,68,58,74,85,84,74,74,74,72,47,69,72,67,79,87,70,71,"CM",3,3,"Right",170,71,"CDM",23,"Norway","Eredivisie","Sparta Rotterdam","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joshua-kitolano/242531",NA,NA,NA,NA,NA,"M"
"Sean Klaiber",72,79,62,68,66,67,78,77,81,63,54,77,69,56,52,63,71,63,73,62,66,65,68,62,69,67,70,66,64,67,69,69,75,75,80,79,"RB",2,3,"Right",184,76,"RM",30,"Suriname","3F Superliga","Brøndby IF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sean-klaiber/219814",NA,NA,NA,NA,NA,"M"
"Christoph Klarer",72,67,37,49,54,73,76,59,73,32,37,44,29,35,47,35,32,33,68,60,29,48,49,40,69,65,59,71,68,75,75,70,76,71,80,71,"CB",3,2,"Right",191,82,"",24,"Austria","EFL League One","Birmingham City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/christoph-klarer/242386",NA,NA,NA,NA,NA,"M"
"Kenan Kodro",72,54,72,62,67,40,71,49,58,77,75,74,65,66,68,65,59,48,66,64,42,66,50,55,75,76,66,30,72,38,39,35,75,64,77,63,"ST",3,3,"Right",190,80,"",31,"Bosnia and Herzegovina","Trendyol Süper Lig","Gaziantep","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kenan-kodro/211068",NA,NA,NA,NA,NA,"M"
"Mats Köhlert",72,79,63,72,72,63,68,79,79,66,62,68,62,59,65,68,80,66,72,69,72,69,77,89,68,72,67,64,53,66,64,63,69,80,60,73,"LB",3,3,"Left",162,62,"",26,"Germany","Eredivisie","sc Heerenveen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mats-kohlert/233178",NA,NA,NA,NA,NA,"M"
"Ondřej Kolář",72,71,69,76,74,44,72,40,50,NA,NA,57,NA,NA,15,51,13,14,40,41,13,19,30,24,61,31,70,11,11,17,12,14,64,25,71,16,"GK",3,1,"Right",193,81,"",29,"Czech Republic","Česká Liga","Slavia Praha","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ondrej-kolar/244467",71,69,76,72,74,"M"
"Ismaël Koné",72,78,63,68,71,64,69,74,81,68,59,71,73,46,44,71,56,48,74,72,72,72,69,52,72,73,74,67,52,65,66,58,69,75,69,62,"CM",4,3,"Right",188,76,"",22,"Canada","Ligue 1 McDonald's","OM","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ismael-kone/264207",NA,NA,NA,NA,NA,"M"
"Jan Kopic",72,76,69,68,72,36,59,77,76,72,66,75,72,67,59,70,72,64,67,63,68,73,75,70,69,71,75,32,48,35,38,31,64,65,58,53,"RM",3,3,"Right",179,81,"LM, RW",34,"Czech Republic","Česká Liga","Viktoria Plzeň","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-kopic/205365",NA,NA,NA,NA,NA,"M"
"Giannis Kotsiras",72,77,52,67,70,68,72,76,78,67,58,45,47,39,40,63,70,45,70,68,74,70,69,67,69,71,70,68,60,68,70,69,75,77,70,68,"RB",3,2,"Right",183,77,"CDM",31,"Greece","Hellas Liga","Panathinaikos","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giannis-kotsiras/262815",NA,NA,NA,NA,NA,"M"
"Jean Evrard Kouassi",72,90,69,59,77,31,70,90,90,68,70,75,62,63,66,65,61,49,62,42,67,78,88,79,75,72,71,26,70,29,26,21,86,75,73,53,"LM",4,4,"Right",174,67,"LW, ST",29,"Côte d'Ivoire","CSL","Zhejiang Pro","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jean-evrard-kouassi/227939",NA,NA,NA,NA,NA,"M"
"Damir Kreilach",72,42,72,70,72,64,80,47,37,69,71,76,74,70,64,71,56,74,76,74,70,72,63,62,79,74,73,59,80,65,63,55,90,71,85,74,"ST",3,3,"Right",186,78,"CAM",35,"Croatia","MLS","Whitecaps FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/damir-kreilach/215886",NA,NA,NA,NA,NA,"M"
"Filip Krovinović",72,65,67,74,72,60,60,64,65,64,63,73,69,69,62,78,65,68,78,73,76,67,75,68,65,78,78,67,54,62,61,46,60,67,56,62,"CAM",4,4,"Right",177,70,"CM",29,"Croatia","Liga Hrvatska","Hajduk Split","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/filip-krovinovic/230988",NA,NA,NA,NA,NA,"M"
"Luca Langoni",72,90,67,62,73,34,67,90,90,72,70,66,64,51,61,59,64,56,66,52,70,72,89,82,71,69,62,22,44,45,29,33,65,90,58,62,"RM",2,3,"Right",173,66,"ST, RW",22,"Argentina","MLS","New England","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luca-langoni/270107",NA,NA,NA,NA,NA,"M"
"Sam Larsson",72,79,69,71,73,38,59,79,79,70,65,76,73,66,55,71,66,78,72,70,76,71,84,77,70,74,71,52,40,29,42,25,60,71,58,47,"LM",2,4,"Right",180,70,"CAM, ST, LW",31,"Sweden","Trendyol Süper Lig","Antalyaspor","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sam-larsson/209782",NA,NA,NA,NA,NA,"M"
"Tobias Lauritsen",72,60,70,53,62,42,77,63,57,79,75,71,59,59,66,60,46,38,59,46,52,59,56,53,71,67,67,37,87,33,40,36,92,72,85,57,"ST",3,2,"Right",194,85,"",27,"Norway","Eredivisie","Sparta Rotterdam","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tobias-lauritsen/230737",NA,NA,NA,NA,NA,"M"
"Dimitri Lavalée",72,64,29,61,64,71,72,54,73,41,21,45,29,22,24,60,63,27,69,63,38,60,63,62,69,69,64,70,72,69,72,73,76,60,76,76,"CB",2,2,"Left",187,76,"CDM",27,"Belgium","Ö. Bundesliga","SK Sturm Graz","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dimitri-lavalee/236712",NA,NA,NA,NA,NA,"M"
"Tobias Lawal",72,77,68,64,74,30,70,33,26,NA,NA,48,NA,NA,12,34,12,12,23,28,11,10,32,28,67,15,32,28,20,NA,12,12,62,22,65,24,"GK",3,1,"Right",195,84,"",24,"Austria","Ö. Bundesliga","LASK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tobias-lawal/244810",77,68,64,70,74,"M"
"Tom Lawrence",72,73,73,71,73,43,70,75,72,71,70,78,78,64,66,69,73,72,72,65,74,73,76,70,66,74,74,28,69,48,42,36,75,73,66,77,"CAM",3,4,"Right",180,75,"LM",30,"Wales","Scottish Prem","Rangers","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tom-lawrence/211513",NA,NA,NA,NA,NA,"M"
"Amor Layouni",72,92,71,64,70,41,77,90,93,68,74,73,66,63,58,69,64,55,64,61,65,71,73,60,67,71,70,37,56,39,40,39,84,78,80,65,"RW",4,3,"Left",191,81,"LW, RM",31,"Tunisia","Allsvenskan","BK Häcken","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/amor-layouni/242166",NA,NA,NA,NA,NA,"M"
"Lee Seung Woo",72,82,70,66,74,41,63,87,78,76,71,70,68,67,65,69,60,67,69,62,69,73,89,70,70,71,70,52,38,34,43,41,62,63,58,74,"CAM",3,4,"Right",173,63,"CM, LW",26,"Korea Republic","K League 1","Jeonbuk Hyundai","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lee-seung-woo/232000",NA,NA,NA,NA,NA,"M"
"Maxim Leitsch",72,76,37,57,58,74,67,77,75,44,29,56,35,30,39,40,59,35,69,61,44,57,58,58,74,54,65,74,71,75,75,74,76,56,72,67,"CB",2,2,"Left",189,83,"",26,"Germany","Bundesliga","1. FSV Mainz 05","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maxim-leitsch/234843",NA,NA,NA,NA,NA,"M"
"Darragh Lenihan",72,65,46,58,59,72,76,61,68,49,40,54,53,44,48,53,53,37,68,63,39,56,62,63,64,59,63,73,71,72,73,72,79,72,77,80,"CB",3,2,"Right",188,76,"",30,"Republic of Ireland","EFL Championship","Middlesbrough","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/darragh-lenihan/211009",NA,NA,NA,NA,NA,"M"
"Alan Lescano",72,65,70,72,73,62,69,66,65,70,68,73,72,69,64,75,66,74,74,70,73,71,72,69,70,78,67,62,59,57,67,63,68,72,67,68,"CM",3,3,"Left",182,67,"CAM, RM",22,"Argentina","Sudamericana","Argentinos Jrs.","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alan-lescano/272350",NA,NA,NA,NA,NA,"M"
"Timo Letschert",72,57,54,62,59,70,81,53,60,49,47,68,62,38,57,55,59,59,67,63,58,55,64,54,63,64,64,72,74,69,71,66,81,71,88,74,"CB",4,2,"Right",188,83,"",31,"Holland","CSL","Rongcheng FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/timo-letschert/209839",NA,NA,NA,NA,NA,"M"
"Martin Linnes",72,84,58,64,70,65,68,83,85,62,56,62,60,59,44,65,65,47,66,60,65,68,75,78,70,70,64,65,54,67,65,65,72,86,64,54,"RB",3,3,"Right",177,72,"",32,"Norway","Eliteserien","Molde FK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-linnes/198599",NA,NA,NA,NA,NA,"M"
"Warleson",72,72,70,75,76,27,69,29,25,NA,NA,56,NA,10,12,32,12,14,24,29,11,11,31,23,67,15,30,NA,15,NA,13,14,66,28,78,28,"GK",3,1,"Right",190,87,"",28,"Brazil","1A Pro League","Cercle Brugge","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/warleson/255754",72,70,75,69,76,"M"
"Marin Ljubičić",72,77,72,58,71,24,74,74,79,73,74,72,69,68,66,59,48,60,69,47,46,72,77,61,72,72,61,21,68,24,16,13,78,75,72,76,"ST",4,3,"Right",183,77,"RW",22,"Croatia","Ö. Bundesliga","LASK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marin-ljubicic/262587",NA,NA,NA,NA,NA,"M"
"Robert Ljubičić",72,77,62,69,72,64,73,75,78,65,64,67,64,44,39,73,58,65,74,69,57,70,75,72,74,75,70,69,65,59,67,61,74,87,65,76,"CM",3,3,"Left",180,69,"CAM, LB",25,"Croatia","Hellas Liga","AEK Athens","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-ljubicic/243525",NA,NA,NA,NA,NA,"M"
"Raúl Loaiza",72,56,46,64,66,70,78,58,54,59,35,67,52,35,37,68,58,35,74,64,39,65,59,65,70,68,72,70,65,72,71,68,71,85,73,81,"CDM",3,3,"Right",180,70,"CM",30,"Colombia","Sudamericana","Lanús","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/raul-loaiza/214226",NA,NA,NA,NA,NA,"M"
"Roberto López",72,55,73,74,74,48,62,55,55,68,74,76,78,48,71,72,70,75,77,75,70,74,72,74,66,76,72,57,24,40,58,45,48,82,65,35,"CAM",2,3,"Left",180,70,"RM, ST",24,"Spain","LALIGA EA SPORTS","CD Leganés","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/roberto-lopez/246169",NA,NA,NA,NA,NA,"M"
"Imrân Louza",72,61,65,72,74,62,62,56,65,71,62,73,66,51,69,74,64,70,75,72,73,74,69,77,69,77,75,64,49,59,70,60,55,73,57,63,"CM",3,4,"Left",178,65,"CDM",25,"Morocco","EFL Championship","Watford","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/imran-louza/242794",NA,NA,NA,NA,NA,"M"
"Max Lowe",72,78,46,63,73,69,67,78,78,66,41,62,36,41,50,62,64,38,67,66,42,74,74,69,69,73,63,68,66,66,74,69,76,69,66,63,"LB",3,3,"Left",175,74,"",27,"England","EFL Championship","Sheffield Wed","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/max-lowe/212100",NA,NA,NA,NA,NA,"M"
"Lorenzo Lucca",72,57,73,59,64,32,80,43,68,74,72,85,67,64,68,54,57,66,64,55,56,68,36,34,68,71,67,25,74,29,31,18,79,63,91,73,"ST",3,2,"Right",201,80,"",24,"Italy","Serie A Enilive","Udinese","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lorenzo-lucca/268474",NA,NA,NA,NA,NA,"M"
"Abel Luciatti",72,63,50,45,54,73,78,64,62,25,51,59,46,35,52,22,43,34,61,45,48,44,70,74,70,55,68,71,74,73,73,71,83,75,83,70,"CB",2,2,"Left",178,67,"LB",31,"Argentina","Sudamericana","Lanús","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/abel-luciatti/230865",NA,NA,NA,NA,NA,"M"
"Nélson Monte",72,54,37,59,59,73,77,53,55,51,33,49,31,33,46,49,60,38,67,67,43,55,58,58,72,63,63,75,64,72,74,73,72,82,78,71,"CB",2,2,"Right",187,78,"RB",29,"Portugal","LALIGA HYPERMOTION","Málaga CF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nelson-monte/222598",NA,NA,NA,NA,NA,"M"
